organism,NCBI.reference.nr,host,host.disease,isolation.source,sample.type,free.living,disease.associated
Pseudomonas atacamensis,NZ_CP070503.1,NA,NA,date palm rhizospheric soil,Cell culture,host.associated,unknown
Pseudomonas toyotomiensis,NZ_CP070505.1,NA,NA,date palm rhizospheric soil,Cell culture,host.associated,unknown
Pseudomonas nitroreducens,NZ_CP049140.1,not applicable,NA,NA,monoculture,unknown,unknown
Pseudomonas aeruginosa,NZ_CP034354.1,Homo sapiens,urinary infection,urine,NA,host.associated,disease.associated
Pseudomonas syringae pv. pisi str. PP1,NZ_CP034078.1,Pisum sativum,NA,NA,NA,host.associated,unknown
Pseudomonas orientalis,NZ_CP027723.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas orientalis,NZ_CP027725.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas orientalis,NZ_CP027724.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas synxantha,NZ_CP027755.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas synxantha,NZ_CP027757.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas synxantha,NZ_CP027758.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas synxantha,NZ_CP027754.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. piscium,NZ_CP027739.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. piscium,NZ_CP027711.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. piscium,NZ_CP027735.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas orientalis,NZ_CP027726.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas synxantha,NZ_CP027756.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens,NZ_CP027752.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,NZ_CP027742.1,Beta vulgaris,NA,beet rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis,NZ_CP027716.1,Saccharum sp.,NA,sugarcane rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens,NZ_CP027722.1,Zea mays,NA,maize rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis,NZ_CP027713.1,Quercus sp.,NA,Oak,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. piscium,NZ_CP027737.1,Persea americana,NA,avocado rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. piscium,NZ_CP027736.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens,NZ_CP027749.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens,NZ_CP027747.1,Medicago sativa,NA,alfalfa rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,NZ_CP027718.1,Medicago sativa,NA,alfalfa rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,NZ_CP027717.1,Beta vulgaris,NA,sugar-beetroot rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,NZ_CP027741.1,Zea mays,NA,maize rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. piscium,NZ_CP027738.1,not applicable,NA,bulk soil,cell culture,free.living,unknown
Pseudomonas chlororaphis subsp. piscium,NZ_CP027708.1,not collected,NA,not collected,cell culture,free.living,unknown
Pseudomonas chlororaphis subsp. piscium,NZ_CP027709.1,not collected,NA,not collected,cell culture,free.living,unknown
Pseudomonas chlororaphis,NZ_CP027753.1,Trifolium sp.,NA,white and red clover,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens,NZ_CP027721.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens,NZ_CP027719.1,Solanum tuberosum,NA,potato roots,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,NZ_CP027744.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,NZ_CP027715.1,Zea mays,NA,maize rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. piscium,NZ_CP027740.1,not applicable,NA,bulk soil,cell culture,free.living,unknown
Pseudomonas chlororaphis subsp. aureofaciens,NZ_CP027751.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. piscium,NZ_CP027710.1,not applicable,NA,take-all decline soil,cell culture,free.living,unknown
Pseudomonas chlororaphis subsp. aureofaciens,NZ_CP027750.1,not applicable,NA,bulk soil,cell culture,free.living,unknown
Pseudomonas chlororaphis subsp. aurantiaca,NZ_CP027743.1,Raphanus sativus,NA,radish rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis,NZ_CP027714.1,not applicable,NA,soil,cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP033684.1,Homo sapiens,Burned,skin,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP033685.1,Homo sapiens,Cardiac arrest,Bronchial aspirate,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP033686.1,Homo sapiens,Burned,Biopsy,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP033439.1,Homo sapiens,Respiratory tract infection,sputum,NA,host.associated,disease.associated
Pseudomonas syringae pv. actinidiae,NZ_CP032871.1,kiwifruit,NA,canker of kiwifruit,tissue sample,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP027172.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP027169.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP027174.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP027171.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas protegens,AP024503.1,Trapa japonica,NA,NA,NA,host.associated,unknown
Pseudomonas toyotomiensis,CP070505.1,NA,NA,date palm rhizospheric soil,Cell culture,host.associated,unknown
Pseudomonas atacamensis,CP070503.1,NA,NA,date palm rhizospheric soil,Cell culture,host.associated,unknown
Pseudomonas multiresinivorans,NZ_CP048833.1,NA,NA,Populus rhizosphere soil,cell culture,host.associated,unknown
Pseudomonas aeruginosa PAO1,NZ_CP053028.1,NA,NA,NA,single cell,unknown,unknown
Pseudomonas putida,NZ_CP050951.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP052759.1,NA,NA,tung meal,cell culture,host.associated,unknown
Pseudomonas umsongensis,NZ_CP051487.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP045916.1,Homo sapiens,Cystic Fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas psychrophila,NZ_CP049044.1,NA,NA,food/cold,Food spoilage microflora,free.living,unknown
Pseudomonas veronii,NZ_CP039631.3,NA,NA,sediment,Bacterial culture,free.living,unknown
Pseudomonas psychrotolerans,NZ_CP021645.1,NA,NA,soil,Whole organism,free.living,unknown
Pseudomonas aeruginosa,NZ_CP034369.1,Homo sapiens,Bacteraemia,sputum,NA,host.associated,disease.associated
Pseudomonas syringae,NZ_CP024646.1,NA,NA,soil,whole organism,free.living,unknown
Pseudomonas aeruginosa,NZ_CP034409.1,Homo sapiens,Bacteraemia,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP034436.1,Homo sapiens,Bacteraemia,blood,NA,host.associated,disease.associated
Pseudomonas libanensis,NZ_CP034425.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP032761.1,Homo sapiens,NA,NA,whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP027166.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP027165.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas orientalis,NZ_CP018049.1,NA,NA,apple blossom,mixed culture,host.associated,unknown
Pseudomonas mosselii,NZ_CP023299.1,NA,NA,rhizosphere soil around rice plants,single cell,host.associated,unknown
Pseudomonas fragi,NZ_CP021132.1,NA,NA,meat,cell culture,host.associated,unknown
Pseudomonas amygdali pv. lachrymans,NZ_CP020351.1,cucumber,NA,NA,Cell culture,host.associated,unknown
Pseudomonas versuta,NZ_CP012676.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas sp. SDM007,NZ_CP070506.1,NA,NA,Hygromycin B antibiotic bottle,Whole organism,free.living,unknown
Pseudomonas simiae,NZ_CP066169.2,NA,NA,agricultural soil,Pure culture,unknown,unknown
Pseudomonas aeruginosa,NZ_CP070467.1,Homo sapiens,Bacteremia,blood,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP070471.1,Homo sapiens,Bacteremia,blood,NA,host.associated,disease.associated
Pseudomonas sp. 15A4,NZ_CP068986.1,apple,NA,NA,NA,host.associated,unknown
Pseudomonas putida,NZ_CP026115.2,Medicago sativa,NA,NA,whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP025055.2,Homo sapiens,NA,sputum,culture,host.associated,unknown
Pseudomonas protegens,NZ_CP043179.1,NA,NA,soil and water,cell culture,free.living,unknown
Pseudomonas putida,NZ_CP022561.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP032552.1,Homo sapiens,Microbial Keratitis,eye,NA,host.associated,disease.associated
Pseudomonas fluorescens,NZ_CP032618.1,Scophthalmus maximus,NA,NA,whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP028584.2,Homo sapiens,NA,NA,Pure Culture,host.associated,unknown
Pseudomonas fluorescens,NZ_CP031450.1,NA,NA,soil,Cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP032257.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP012901.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP031659.1,Homo sapiens,Bacteremia,blood,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP031660.1,Homo sapiens,Bacteremia,blood,NA,host.associated,disease.associated
Pseudomonas parafulva,NZ_CP031641.1,NA,NA,soil,BACTERIA,free.living,unknown
Pseudomonas fluorescens,NZ_CP031648.1,NA,NA,soil,BACTERIA,free.living,unknown
Pseudomonas aeruginosa,NZ_CP030911.1,Homo sapiens,Pneumonia,sputum,NA,host.associated,disease.associated
Pseudomonas protegens,NZ_CP031396.1,NA,NA,rhizosphere,Bacteria,free.living,unknown
Pseudomonas aeruginosa,NZ_CP011857.1,Homo sapiens,NA,sputum,NA,host.associated,disease.associated
Pseudomonas fragi,NZ_CP013861.1,NA,NA,sediment of Arctic,whole organism,free.living,unknown
Pseudomonas sp. PDNC002,NZ_CP070356.1,NA,NA,Plastic debris in land/lake environment,cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP030910.1,Homo sapiens,Pneumonia,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP030912.1,Homo sapiens,Pneumonia,sputum,NA,host.associated,disease.associated
Pseudomonas sp. SDM007,CP070506.1,NA,NA,Hygromycin B antibiotic bottle,Whole organism,free.living,unknown
Pseudomonas sp. 15A4,CP068986.1,apple,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP070471.1,Homo sapiens,Bacteremia,blood,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP070467.1,Homo sapiens,Bacteremia,blood,NA,host.associated,disease.associated
Pseudomonas sp. PDNC002,CP070356.1,NA,NA,Plastic debris in land/lake environment,cell culture,free.living,unknown
Pseudomonas simiae,CP066169.2,NA,NA,agricultural soil,Pure culture,unknown,unknown
Pseudomonas putida,NZ_CP030750.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP030328.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP030327.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP030351.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas putida,NZ_CP029693.1,strawberry,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP029707.1,Homo sapiens,NA,tracheal secretions,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP029745.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas fluorescens,NZ_CP048607.1,NA,NA,Rhizosphere of Soybean,whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP029660.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP023255.1,Homo sapiens,N/A,sputum,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP029097.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP029090.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP029093.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP029089.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP029088.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP020560.1,NA,NA,Chilli rhizosphere,Environmental,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP024024.1,Homo sapiens,acute pulmonary infection,blood,cell culture,host.associated,disease.associated
Pseudomonas granadensis,NZ_CP069352.1,NA,NA,Rhizo- sphere soil samples collected in an organic olive grove located at Mairena del Aljarafe (Sevilla),NA,host.associated,unknown
Pseudomonas aeruginosa,CP024024.1,Homo sapiens,acute pulmonary infection,blood,cell culture,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP069198.1,Homo sapiens,Sepsis,blood,NA,host.associated,disease.associated
Pseudomonas fluorescens,NZ_CP048408.1,NA,NA,Rhizosphere of Soybean,whole organism,free.living,unknown
Pseudomonas aeruginosa,NZ_CP013113.1,NA,NA,Lindberg collection,cell culture,unknown,unknown
Pseudomonas granadensis,CP069352.1,NA,NA,Rhizo- sphere soil samples collected in an organic olive grove located at Mairena del Aljarafe (Sevilla),NA,host.associated,unknown
Pseudomonas citronellolis,NZ_CP014158.1,basil,NA,phyllosphere material,phyllosphere material,host.associated,unknown
Pseudomonas fluorescens,NZ_CP012831.1,NA,NA,ground water from background well at DOE's FRC site at Oak Ridge,Whole organism,free.living,unknown
Pseudomonas fluorescens,NZ_CP012830.1,NA,NA,ground water from background well at DOE's FRC site at Oak Ridge,Whole organism,free.living,unknown
Pseudomonas simiae,NZ_CP005975.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP069198.1,Homo sapiens,Sepsis,blood,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP058332.1,sugarcane,NA,NA,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP034908.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP021380.2,Homo sapiens,NA,catheter tip,NA,host.associated,unknown
Pseudomonas sp. S19,NZ_CP019397.1,Solanum tuberosum,NA,phyllosphere,whole organism,host.associated,unknown
Pseudomonas sp. R84,NZ_CP019426.1,Solanum tuberosum,NA,rhizosphere soil,whole organism,host.associated,unknown
Pseudomonas sp. S49,NZ_CP019432.1,Solanum tuberosum,NA,phyllosphere,whole organism,host.associated,unknown
Pseudomonas sp. S04,NZ_CP019427.1,Solanum tuberosum,NA,phyllosphere,whole organism,host.associated,unknown
Pseudomonas sp. R76,NZ_CP019428.1,Solanum tuberosum,NA,rhizosphere soil,whole organism,host.associated,unknown
Pseudomonas sp. S35,NZ_CP019431.1,Solanum tuberosum,NA,phyllosphere,whole organism,host.associated,unknown
Pseudomonas sp. S34,NZ_CP019398.1,Solanum tuberosum,NA,phyllosphere,whole organism,host.associated,unknown
Pseudomonas coronafaciens pv. oryzae str. 1_6,NZ_CP046035.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP041774.1,Homo sapiens,pneumonia,sputum specimen,NA,host.associated,disease.associated
Pseudomonas sp. BJP69,NZ_CP041933.1,Homo sapiens,liver cancer,sputum specimen,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP041771.1,Homo sapiens,cerebral trauma after surgery,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP041772.1,Homo sapiens,urinary tract infection,sputum specimen,NA,host.associated,disease.associated
Pseudomonas sp. RU47,NZ_CP022411.1,NA,NA,soil,Soil,free.living,unknown
Pseudomonas aeruginosa,NZ_CP017293.1,Homo sapiens,NA,NA,blood,host.associated,unknown
Pseudomonas sp. LPH1,NZ_CP017290.1,NA,NA,"Coisolated with amoeba LPG3, from freshwater residential lily pond",bacterial culture,free.living,unknown
Pseudomonas sp. TCU-HL1,NZ_CP015992.1,NA,NA,soil sample,single cell,free.living,unknown
Pseudomonas silesiensis,NZ_CP014870.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas fluorescens NCIMB 11764,NZ_CP010945.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. VLB120,NC_022738.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas putida ND6,NC_017986.1,NA,NA,industrial wastewater,NA,unknown,unknown
Pseudomonas fluorescens A506,NC_017911.1,pear,NA,pear tree leaf,NA,host.associated,unknown
Pseudomonas putida BIRD-1,NC_017530.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas putida S16,NC_015733.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas fluorescens Pf0-1,NC_007492.2,NA,NA,NA,NA,unknown,unknown
Pseudomonas protegens Pf-5,NC_004129.6,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. RtIB026,AP023348.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP060392.1,Homo sapiens,pneumonia,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP054845.1,Homo sapiens,NA,urine,NA,host.associated,unknown
Pseudomonas aeruginosa,CP054843.1,Homo sapiens,NA,sputum,NA,host.associated,unknown
Pseudomonas aeruginosa,CP046402.2,Homo sapiens,pneumonia,respiratory,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP058332.1,sugarcane,NA,NA,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,NZ_CP048051.1,Anemarrhena asphodeloides Bunge,NA,leaf,tissue sample,host.associated,unknown
Pseudomonas syringae pv. actinidiae,NZ_CP017007.1,Actinidia deliciosa,NA,kiwifruit orchard,whole organism,host.associated,unknown
Pseudomonas chlororaphis,NZ_CP014867.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP051547.1,NA,NA,CF sputum,DNA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP045002.1,Homo sapiens,NA,NA,single cell,host.associated,unknown
Pseudomonas putida,NZ_CP039371.1,Pyrus communis 'Williams',NA,pear phyllosphere,NA,host.associated,unknown
Pseudomonas viciae,NZ_CP035088.1,Vicia faba,NA,rhizosphere,whole organsim,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP023316.1,NA,NA,Dental unit waterline,Whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_LT969520.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. Lz4W,NZ_CP017432.1,NA,NA,soil,NA,free.living,unknown
Pseudomonas aeruginosa,NZ_CP024477.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas savastanoi pv. savastanoi NCPPB 3335,NZ_CP008742.1,olive knot (Olea europaea),NA,NA,NA,host.associated,unknown
Pseudomonas savastanoi pv. savastanoi NCPPB 3335,CP008742.1,olive knot (Olea europaea),NA,NA,NA,host.associated,unknown
Pseudomonas putida,NZ_CP018846.1,Zea mays,NA,root,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP016214.1,Homo sapiens,Respiratory disease,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa SJTD-1,NZ_CP015877.1,NA,NA,soil,NA,free.living,unknown
Pseudomonas putida SJTE-1,NZ_CP015876.1,NA,NA,soil,NA,free.living,unknown
Pseudomonas putida KT2440,NC_002947.4,NA,NA,NA,NA,unknown,unknown
Pseudomonas mendocina S5.2,NZ_CP013124.1,NA,NA,rhizosphere soil,NA,free.living,unknown
Pseudomonas soli,NZ_CP009365.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa VRFPA04,NZ_CP008739.1,Homo sapiens,NA,Corneal button from patient with corneal keratitis,NA,host.associated,disease.associated
Pseudomonas ogarae,NC_016830.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas brassicacearum subsp. brassicacearum NFM421,NC_015379.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas mendocina NK-01,NC_015410.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae pv. syringae B728a,NC_007005.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas chlororaphis subsp. aurantiaca,NZ_CP068390.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas chlororaphis subsp. aurantiaca,CP068390.1,NA,NA,NA,NA,unknown,unknown
